scenario,cost_form,alpha_scenario,alpha,theta_f,candidate,capacity,speed_multiplier,mean_loss_days,cost_index,pareto_frontier,engineering_action_candidate,pareto_actionable,equivalent_group
shape_only,linear,independent,0.0,0.5,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
shape_only,linear,independent,0.0,0.5,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,linear,independent,0.0,0.5,L2,0.5,1.0,24.830955295272016,1.0,False,True,False,G3
shape_only,linear,independent,0.0,0.5,L3,0.75,1.0,17.11675343973211,1.0,False,True,False,G4
shape_only,linear,independent,0.0,0.5,L4,1.0,1.0,11.013858700942551,1.0,True,True,True,G5
shape_only,linear,independent,0.0,0.5,F_fast,0.5,1.0,24.830955295272016,0.5,True,True,True,G6
shape_only,linear,independent,0.0,0.8,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
shape_only,linear,independent,0.0,0.8,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,linear,independent,0.0,0.8,L2,0.5,1.0,24.830955295272016,1.0,False,True,False,G3
shape_only,linear,independent,0.0,0.8,L3,0.75,1.0,17.11675343973211,1.0,False,True,False,G4
shape_only,linear,independent,0.0,0.8,L4,1.0,1.0,11.013858700942551,1.0,True,True,True,G5
shape_only,linear,independent,0.0,0.8,F_fast,0.5,1.0,24.830955295272016,0.8,True,True,True,G6
shape_only,linear,independent,0.0,1.0,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
shape_only,linear,independent,0.0,1.0,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,linear,independent,0.0,1.0,L2,0.5,1.0,24.830955295272016,1.0,False,True,False,G3
shape_only,linear,independent,0.0,1.0,L3,0.75,1.0,17.11675343973211,1.0,False,True,False,G4
shape_only,linear,independent,0.0,1.0,L4,1.0,1.0,11.013858700942551,1.0,True,True,True,G5
shape_only,linear,independent,0.0,1.0,F_fast,0.5,1.0,24.830955295272016,1.0,False,True,False,G3
shape_only,linear,independent,0.0,1.25,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
shape_only,linear,independent,0.0,1.25,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,linear,independent,0.0,1.25,L2,0.5,1.0,24.830955295272016,1.0,False,True,False,G3
shape_only,linear,independent,0.0,1.25,L3,0.75,1.0,17.11675343973211,1.0,False,True,False,G4
shape_only,linear,independent,0.0,1.25,L4,1.0,1.0,11.013858700942551,1.0,True,True,True,G5
shape_only,linear,independent,0.0,1.25,F_fast,0.5,1.0,24.830955295272016,1.25,False,True,False,G6
shape_only,linear,independent,0.0,1.5,L0,0.0,1.0,43.52602158068175,1.0,False,False,False,G1
shape_only,linear,independent,0.0,1.5,L1,0.25,1.0,33.81584132956551,1.0,False,True,False,G2
shape_only,linear,independent,0.0,1.5,L2,0.5,1.0,24.830955295272016,1.0,False,True,False,G3
shape_only,linear,independent,0.0,1.5,L3,0.75,1.0,17.11675343973211,1.0,False,True,False,G4
