sampling_mode,scenario,candidate,mean_regret,top1_frequency_mean_regret,mean_loss_days
paired,shape_only,L0,0.9820494160498349,0.0001,43.52602158068175
paired,shape_only,L1,0.6311065488661769,0.0,33.81584132956551
paired,shape_only,L2,0.3774762518751025,0.0,24.830955295272016
paired,shape_only,L3,0.1711098495198671,0.0,17.11675343973211
paired,shape_only,L4,0.0014445425517663154,0.9999,11.013858700942551
paired,shape_only,F_fast,0.3774762518751025,0.0,24.830955295272016
paired,evidence_tradeoff,L0,0.9549892603550763,0.0,43.52602158068175
paired,evidence_tradeoff,L1,0.748677921627074,0.0,38.83044962497387
paired,evidence_tradeoff,L2,0.5780212940932161,0.0,32.15913884757574
paired,evidence_tradeoff,L3,0.43109903044014547,0.0,25.450971924173462
paired,evidence_tradeoff,L4,0.3033026312540966,0.0,18.91124888921351
paired,evidence_tradeoff,F_fast,0.0014855929992812283,1.0,2.637711593729574
paired,boundary_tradeoff,L0,0.9476747178949476,0.0,43.52602158068175
paired,boundary_tradeoff,L1,0.7227509374741263,0.0,38.83044962497387
paired,boundary_tradeoff,L2,0.5254753857484971,0.0,32.15913884757574
paired,boundary_tradeoff,L3,0.3494922615689282,0.0,25.450971924173462
paired,boundary_tradeoff,L4,0.1887139151539459,0.0447,18.91124888921351
paired,boundary_tradeoff,F_fast,0.04928764207178116,0.9553,12.506280876982748
independent,shape_only,L0,0.8589023274968677,0.0046,43.32635265368971
independent,shape_only,L1,0.5885927766449294,0.0161,33.86249342451434
independent,shape_only,L2,0.3647341698137763,0.0456,24.902695898863456
independent,shape_only,L3,0.18028008244064428,0.1408,17.12009395002439
independent,shape_only,L4,0.046162499304063354,0.7489,10.98772026247962
independent,shape_only,F_fast,0.36276774869758327,0.044,24.742968822308203
independent,evidence_tradeoff,L0,0.8480603583697702,0.0,43.32635265368971
independent,evidence_tradeoff,L1,0.6695677776159903,0.0004,38.88330080746328
independent,evidence_tradeoff,L2,0.5043781139125337,0.0007,32.25208364617276
independent,evidence_tradeoff,L3,0.35772142232943727,0.0005,25.456424382286013
independent,evidence_tradeoff,L4,0.2391596251818893,0.0016,18.867272076591306
independent,evidence_tradeoff,F_fast,0.0016288540562794506,0.9968,2.6291573165639344
independent,boundary_tradeoff,L0,0.8238619968433066,0.0061,43.32635265368971
independent,boundary_tradeoff,L1,0.6342481550846771,0.0156,38.88330080746328
independent,boundary_tradeoff,L2,0.45010838222341154,0.0317,32.25208364617276
independent,boundary_tradeoff,L3,0.28174238955557207,0.0696,25.456424382286013
independent,boundary_tradeoff,L4,0.1414594073640351,0.2482,18.867272076591306
independent,boundary_tradeoff,F_fast,0.07861085955923232,0.6288,12.462464328023737
