scenario,weight_scheme,candidate,weighted_mean_regret,top1_candidate
shape_only,equal,L0,0.9824249785651362,L4
shape_only,equal,L1,0.6312575145757645,L4
shape_only,equal,L2,0.37753683337732574,L4
shape_only,equal,L3,0.17108044320543397,L4
shape_only,equal,L4,0.0014410188549037425,L4
shape_only,equal,F_fast,0.37753683337732574,L4
shape_only,rapidity_emphasis,L0,0.9848459885032358,L4
shape_only,rapidity_emphasis,L1,0.6345449539712372,L4
shape_only,rapidity_emphasis,L2,0.39058996252177003,L4
shape_only,rapidity_emphasis,L3,0.18182894322540188,L4
shape_only,rapidity_emphasis,L4,0.0015835646967733274,L4
shape_only,rapidity_emphasis,F_fast,0.39058996252177003,L4
shape_only,resilience_emphasis,L0,0.9857432657448195,L4
shape_only,resilience_emphasis,L1,0.6334937292590804,L4
shape_only,resilience_emphasis,L2,0.3752197972066601,L4
shape_only,resilience_emphasis,L3,0.1679144552603028,L4
shape_only,resilience_emphasis,L4,0.0011883649258477894,L4
shape_only,resilience_emphasis,F_fast,0.3752197972066601,L4
shape_only,early_functionality_emphasis,L0,0.9848877282452784,L4
shape_only,early_functionality_emphasis,L1,0.6346567425579968,L4
shape_only,early_functionality_emphasis,L2,0.377013361289673,L4
shape_only,early_functionality_emphasis,L3,0.16927613506194691,L4
shape_only,early_functionality_emphasis,L4,0.0013748318125605858,L4
shape_only,early_functionality_emphasis,F_fast,0.377013361289673,L4
evidence_tradeoff,equal,L0,0.9538169858757154,F_fast
evidence_tradeoff,equal,L1,0.7493981296611328,F_fast
evidence_tradeoff,equal,L2,0.5794286600666003,F_fast
evidence_tradeoff,equal,L3,0.4324936100556439,F_fast
evidence_tradeoff,equal,L4,0.30499735492437646,F_fast
evidence_tradeoff,equal,F_fast,0.0014934987997816008,F_fast
evidence_tradeoff,rapidity_emphasis,L0,0.950860745495019,F_fast
evidence_tradeoff,rapidity_emphasis,L1,0.7424601893138807,F_fast
evidence_tradeoff,rapidity_emphasis,L2,0.5835515273365779,F_fast
evidence_tradeoff,rapidity_emphasis,L3,0.439719361594752,F_fast
evidence_tradeoff,rapidity_emphasis,L4,0.31152253255606743,F_fast
evidence_tradeoff,rapidity_emphasis,F_fast,0.002373220769267301,F_fast
evidence_tradeoff,resilience_emphasis,L0,0.9624866405597411,F_fast
evidence_tradeoff,resilience_emphasis,L1,0.7571085100442217,F_fast
evidence_tradeoff,resilience_emphasis,L2,0.5812434818773049,F_fast
evidence_tradeoff,resilience_emphasis,L3,0.43118332143747434,F_fast
evidence_tradeoff,resilience_emphasis,L4,0.3019512295631421,F_fast
evidence_tradeoff,resilience_emphasis,F_fast,0.0011947990398252805,F_fast
evidence_tradeoff,early_functionality_emphasis,L0,0.9613990809598024,F_fast
evidence_tradeoff,early_functionality_emphasis,L1,0.7489110782419623,F_fast
evidence_tradeoff,early_functionality_emphasis,L2,0.5709585682911509,F_fast
evidence_tradeoff,early_functionality_emphasis,L3,0.42025492433979583,F_fast
evidence_tradeoff,early_functionality_emphasis,L4,0.2923093673137075,F_fast
evidence_tradeoff,early_functionality_emphasis,F_fast,0.0012111763502085406,F_fast
boundary_tradeoff,equal,L0,0.9465135526803597,F_fast
boundary_tradeoff,equal,L1,0.7237093728317492,F_fast
boundary_tradeoff,equal,L2,0.527361485496549,F_fast
boundary_tradeoff,equal,L3,0.3516075461993817,F_fast
boundary_tradeoff,equal,L4,0.19135139505686496,F_fast
boundary_tradeoff,equal,F_fast,0.04879795425445835,F_fast
boundary_tradeoff,rapidity_emphasis,L0,0.9396533723727182,F_fast
boundary_tradeoff,rapidity_emphasis,L1,0.7192948440962057,F_fast
boundary_tradeoff,rapidity_emphasis,L2,0.5392830352640556,F_fast
boundary_tradeoff,rapidity_emphasis,L3,0.369938685870857,F_fast
boundary_tradeoff,rapidity_emphasis,L4,0.2086130634777461,F_fast
boundary_tradeoff,rapidity_emphasis,F_fast,0.05051495533274282,F_fast
boundary_tradeoff,resilience_emphasis,L0,0.956376589175585,F_fast
boundary_tradeoff,resilience_emphasis,L1,0.7312483557414667,F_fast
boundary_tradeoff,resilience_emphasis,L2,0.5269195945948448,F_fast
boundary_tradeoff,resilience_emphasis,L3,0.34631580866086786,F_fast
boundary_tradeoff,resilience_emphasis,L4,0.1834517955267361,F_fast
boundary_tradeoff,resilience_emphasis,F_fast,0.04242156407407165,F_fast
boundary_tradeoff,early_functionality_emphasis,L0,0.9553651485634549,F_fast
boundary_tradeoff,early_functionality_emphasis,L1,0.7195441493099741,F_fast
boundary_tradeoff,early_functionality_emphasis,L2,0.5106772161517217,F_fast
boundary_tradeoff,early_functionality_emphasis,L3,0.3272531922311329,F_fast
boundary_tradeoff,early_functionality_emphasis,L4,0.16420050595810728,F_fast
boundary_tradeoff,early_functionality_emphasis,F_fast,0.06013068467074833,F_fast
