scope,case,recovery_scenario,statistic,mean,bootstrap_ci95_low,bootstrap_ci95_high,n_conditions,n_resamples
both_cases_stratified_by_case_all_sa_and_metrics,A+B,aligned_capacity_recovery,mean_kendall_tau,0.9993623333333332,0.9985895958333332,0.9998703333333333,40,10000
single_case_all_sa_and_metrics,A,aligned_capacity_recovery,mean_kendall_tau,0.9987926666666669,0.9972722500000001,0.9997976666666666,20,10000
single_case_all_sa_and_metrics,B,aligned_capacity_recovery,mean_kendall_tau,0.999932,0.9998440000000001,0.9999986666666667,20,10000
both_cases_stratified_by_case_all_sa_and_metrics,A+B,aligned_capacity_recovery,mean_spearman_rho,0.9995300833333334,0.9989063062499999,0.9999254208333334,40,10000
single_case_all_sa_and_metrics,A,aligned_capacity_recovery,mean_spearman_rho,0.9990941666666666,0.997863,0.9998747124999999,20,10000
single_case_all_sa_and_metrics,B,aligned_capacity_recovery,mean_spearman_rho,0.999966,0.9999195000000001,0.9999996666666666,20,10000
both_cases_stratified_by_case_all_sa_and_metrics,A+B,aligned_capacity_recovery,mean_top3_jaccard,0.9995168333333334,0.9988526666666667,0.9999297500000001,40,10000
single_case_all_sa_and_metrics,A,aligned_capacity_recovery,mean_top3_jaccard,0.9990336666666666,0.9977136666666666,0.9998595,20,10000
single_case_all_sa_and_metrics,B,aligned_capacity_recovery,mean_top3_jaccard,1.0,1.0,1.0,20,10000
both_cases_stratified_by_case_all_sa_and_metrics,A+B,aligned_capacity_recovery,pairwise_reversal_rate,0.0002895,6.895312500000004e-05,0.0005992968749999999,40,10000
single_case_all_sa_and_metrics,A,aligned_capacity_recovery,pairwise_reversal_rate,0.0005445000000000001,0.00010533333333333334,0.0011404166666666667,20,10000
single_case_all_sa_and_metrics,B,aligned_capacity_recovery,pairwise_reversal_rate,3.4500000000000005e-05,5.000000000000001e-07,8.066666666666667e-05,20,10000
both_cases_stratified_by_case_all_sa_and_metrics,A+B,aligned_capacity_recovery,top1_change_rate,0.0,0.0,0.0,40,10000
single_case_all_sa_and_metrics,A,aligned_capacity_recovery,top1_change_rate,0.0,0.0,0.0,20,10000
single_case_all_sa_and_metrics,B,aligned_capacity_recovery,top1_change_rate,0.0,0.0,0.0,20,10000
both_cases_stratified_by_case_all_sa_and_metrics,A+B,capacity_recovery_tradeoff,mean_kendall_tau,0.9091623333333334,0.8558688041666668,0.9527834041666668,40,10000
