case,recovery_scenario,sa,metric,statistic,mean,mc_ci95_low,mc_ci95_high,n_mc_samples
A,shape_only,0.2,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.4,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.6,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.8,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,1.0,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.2,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,shape_only,0.4,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,shape_only,0.6,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,shape_only,0.8,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,shape_only,1.0,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,shape_only,0.2,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,shape_only,0.4,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,shape_only,0.6,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,shape_only,0.8,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,shape_only,1.0,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
A,shape_only,0.2,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.4,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.6,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.8,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,1.0,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.2,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,shape_only,0.4,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,shape_only,0.6,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,shape_only,0.8,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,shape_only,1.0,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
A,shape_only,0.2,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.4,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.6,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.8,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,1.0,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.2,functionality_day_30,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,shape_only,0.4,functionality_day_30,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,shape_only,0.6,functionality_day_30,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,shape_only,0.8,functionality_day_30,pairwise_reversal_rate,0.0010133333333333335,0.0,0.0,10000
A,shape_only,1.0,functionality_day_30,pairwise_reversal_rate,0.0030983333333333336,0.0,0.0,10000
A,shape_only,0.2,functionality_day_30,mean_top3_jaccard,1.0,1.0,1.0,10000
A,shape_only,0.4,functionality_day_30,mean_top3_jaccard,1.0,1.0,1.0,10000
A,shape_only,0.6,functionality_day_30,mean_top3_jaccard,1.0,1.0,1.0,10000
A,shape_only,0.8,functionality_day_30,mean_top3_jaccard,0.9978166666666668,1.0,1.0,10000
A,shape_only,1.0,functionality_day_30,mean_top3_jaccard,0.9950066666666667,1.0,1.0,10000
A,shape_only,0.2,functionality_day_30,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.4,functionality_day_30,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.6,functionality_day_30,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.8,functionality_day_30,mean_kendall_tau,0.9976933333333334,1.0,1.0,10000
A,shape_only,1.0,functionality_day_30,mean_kendall_tau,0.9934333333333334,1.0,1.0,10000
A,shape_only,0.2,functionality_day_30,mean_spearman_rho,1.0,1.0,1.0,10000
A,shape_only,0.4,functionality_day_30,mean_spearman_rho,1.0,1.0,1.0,10000
A,shape_only,0.6,functionality_day_30,mean_spearman_rho,1.0,1.0,1.0,10000
A,shape_only,0.8,functionality_day_30,mean_spearman_rho,0.9986233333333333,1.0,1.0,10000
A,shape_only,1.0,functionality_day_30,mean_spearman_rho,0.9948799999999999,1.0,1.0,10000
A,shape_only,0.2,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.4,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.6,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.8,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,1.0,functionality_day_90,top1_change_rate,0.0,0.0,0.0,10000
A,shape_only,0.2,functionality_day_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,shape_only,0.4,functionality_day_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,shape_only,0.6,functionality_day_90,pairwise_reversal_rate,0.0,0.0,0.0,10000
A,shape_only,0.8,functionality_day_90,pairwise_reversal_rate,0.00057,0.0,0.0,10000
A,shape_only,1.0,functionality_day_90,pairwise_reversal_rate,0.0013533333333333333,0.0,0.0,10000
A,shape_only,0.2,functionality_day_90,mean_top3_jaccard,1.0,1.0,1.0,10000
A,shape_only,0.4,functionality_day_90,mean_top3_jaccard,1.0,1.0,1.0,10000
A,shape_only,0.6,functionality_day_90,mean_top3_jaccard,1.0,1.0,1.0,10000
A,shape_only,0.8,functionality_day_90,mean_top3_jaccard,0.9988333333333334,1.0,1.0,10000
A,shape_only,1.0,functionality_day_90,mean_top3_jaccard,0.99739,1.0,1.0,10000
A,shape_only,0.2,functionality_day_90,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.4,functionality_day_90,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.6,functionality_day_90,mean_kendall_tau,1.0,1.0,1.0,10000
A,shape_only,0.8,functionality_day_90,mean_kendall_tau,0.9985333333333334,1.0,1.0,10000
