scenario,candidate,mean_regret,bootstrap_ci95_low,bootstrap_ci95_high,mc_standard_error,top1_frequency
shape_only,L0,0.9824249785651362,0.9784993372440736,0.986200138393438,9.910237851024906e-05,0.00460125
shape_only,L1,0.6312575145757646,0.6020858056218086,0.6588256557376618,7.441595662676748e-05,0.0072999999999999975
shape_only,L2,0.37753683337732574,0.34909214383329656,0.4060667168811365,5.806315039922259e-05,0.013549999999999998
shape_only,L3,0.17108044320543403,0.15271758195348556,0.18997023007019395,5.2045933039772675e-05,0.013549999999999998
shape_only,L4,0.0014410188549037425,0.0007234617288400554,0.0022664754653833937,2.404018834612301e-05,0.94744875
shape_only,F_fast,0.37753683337732574,0.34909214383329656,0.4060667168811365,5.806315039922259e-05,0.013549999999999998
evidence_tradeoff,L0,0.9538169858757153,0.943817252300111,0.9635695801412034,0.00011214379871911209,0.0045616666666666705
evidence_tradeoff,L1,0.749398129661133,0.7157746385602854,0.7801019233814686,9.719200421255024e-05,0.007224166666666664
evidence_tradeoff,L2,0.5794286600666003,0.537389239007595,0.6200315459701768,8.930946737876854e-05,0.012540833333333334
evidence_tradeoff,L3,0.4324936100556439,0.38873108794138034,0.4757018317212571,9.661953437044407e-05,0.012003958333333332
evidence_tradeoff,L4,0.3049973549243764,0.2660578557803336,0.34435252799453697,9.9512322146122e-05,0.07676520833333333
evidence_tradeoff,F_fast,0.0014934987997816008,0.0006709351340907797,0.0024606004605402785,3.2532184301602906e-06,0.8869041666666668
boundary_tradeoff,L0,0.9465135526803596,0.9336247232381711,0.9584500611704176,0.00011402581522532094,0.004597916666666671
boundary_tradeoff,L1,0.7237093728317494,0.6927616505171252,0.7539346101284042,9.961735928477322e-05,0.007224166666666664
boundary_tradeoff,L2,0.5273614854965487,0.48852119416195117,0.5665168372843692,9.932777876429497e-05,0.012540833333333334
boundary_tradeoff,L3,0.35160754619938167,0.3113018503689069,0.3936995669095371,0.00011548838419699058,0.012003958333333332
boundary_tradeoff,L4,0.191351395056865,0.1554611400409367,0.22907983875747995,0.00012757870116877784,0.4378158333333334
boundary_tradeoff,F_fast,0.04879795425445837,0.03881330154871601,0.05939727759382885,4.2051900941014786e-05,0.5258172916666667
