scenario,case,sa,metric,statistic,mean,mc_ci95_low,mc_ci95_high,n_samples
shape_only,A,0.2,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,0.4,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,0.6,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,0.8,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,1.0,resilience_index,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,0.2,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,A,0.4,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,A,0.6,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,A,0.8,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,A,1.0,resilience_index,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,A,0.2,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,A,0.4,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,A,0.6,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,A,0.8,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,A,1.0,resilience_index,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,A,0.2,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,A,0.4,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,A,0.6,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,A,0.8,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,A,1.0,resilience_index,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,A,0.2,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,A,0.4,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,A,0.6,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,A,0.8,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,A,1.0,resilience_index,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,A,0.2,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,0.4,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,0.6,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,0.8,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,1.0,functionality_day_30,top1_change_rate,0.0,0.0,0.0,10000
shape_only,A,0.2,functionality_day_30,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,A,0.4,functionality_day_30,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,A,0.6,functionality_day_30,pairwise_reversal_rate,0.0,0.0,0.0,10000
shape_only,A,0.8,functionality_day_30,pairwise_reversal_rate,0.0009455555555555556,0.0,0.0,10000
shape_only,A,1.0,functionality_day_30,pairwise_reversal_rate,0.0029544444444444444,0.0,0.0,10000
shape_only,A,0.2,functionality_day_30,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,A,0.4,functionality_day_30,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,A,0.6,functionality_day_30,mean_top3_jaccard,1.0,1.0,1.0,10000
shape_only,A,0.8,functionality_day_30,mean_top3_jaccard,0.9982833333333332,1.0,1.0,10000
shape_only,A,1.0,functionality_day_30,mean_top3_jaccard,0.9952766666666666,1.0,1.0,10000
shape_only,A,0.2,functionality_day_30,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,A,0.4,functionality_day_30,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,A,0.6,functionality_day_30,mean_kendall_tau,1.0,1.0,1.0,10000
shape_only,A,0.8,functionality_day_30,mean_kendall_tau,0.9978622222222222,1.0,1.0,10000
shape_only,A,1.0,functionality_day_30,mean_kendall_tau,0.9940133333333333,1.0,1.0,10000
shape_only,A,0.2,functionality_day_30,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,A,0.4,functionality_day_30,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,A,0.6,functionality_day_30,mean_spearman_rho,1.0,1.0,1.0,10000
shape_only,A,0.8,functionality_day_30,mean_spearman_rho,0.9985942857142858,1.0,1.0,10000
