capacity,speed_multiplier,mean_regret_F_fast,mean_regret_L4_high,regret_difference_F_minus_L4,winner,F_top1_frequency,L4_top1_frequency
0.0,0.05,0.0054163551852827695,0.3086652901649866,-0.30324893497970384,F_fast,0.822425,0.112325
0.0,0.075,0.009727075325922298,0.30377297366200523,-0.2940458983360829,F_fast,0.81220625,0.12254375
0.0,0.1,0.014778903975653384,0.29583238629825676,-0.28105348232260335,F_fast,0.7983,0.13645
0.0,0.15,0.0322980993134457,0.27332132263709685,-0.24102322332365117,F_fast,0.725775,0.208975
0.0,0.2,0.05885548609287762,0.2533294483146317,-0.19447396222175412,F_fast,0.645375,0.289375
0.0,0.3,0.12073922998051849,0.21701875120390046,-0.09627952122338197,F_fast,0.53235,0.4024
0.0,0.4,0.19874030481131988,0.1827773883414418,0.015962916469878075,L4_high,0.41834375,0.51640625
0.0,0.5,0.2892354051799288,0.15141936751536206,0.13781603766456674,L4_high,0.3120875,0.6226625
0.0,0.75,0.5584200225522424,0.09609854638366809,0.46232147616857433,L4_high,0.13895,0.7958
0.0,1.0,0.888855448430704,0.061627502035431055,0.8272279463952729,L4_high,0.0,0.86924375
0.25,0.05,0.0015537160920940066,0.31180417188572246,-0.3102504557936285,F_fast,0.87308125,0.06166875
0.25,0.075,0.002757964688294056,0.3075753749118148,-0.30481741022352077,F_fast,0.864375,0.070375
0.25,0.1,0.004360585023418717,0.30133501568314053,-0.2969744306597218,F_fast,0.81865,0.1161
0.25,0.15,0.010826701366093283,0.28329065347074067,-0.2724639521046474,F_fast,0.771075,0.163675
0.25,0.2,0.02111058280909926,0.26466564816987864,-0.2435550653607794,F_fast,0.720375,0.214375
0.25,0.3,0.04973553528963076,0.23127082133308333,-0.18153528604345257,F_fast,0.5909875,0.3437625
0.25,0.4,0.0883264982817451,0.19799690699161798,-0.10967040870987288,F_fast,0.49386875,0.44088125
0.25,0.5,0.13682421714323179,0.1676918985552009,-0.030867681411969106,F_fast,0.38419375,0.55055
0.25,0.75,0.28829841276530394,0.1049700590497579,0.18332835371554604,L4_high,0.1827,0.7518875
0.25,1.0,0.5005749827458068,0.06718335100131662,0.4333916317444902,L4_high,0.0725,0.8534375
0.5,0.05,0.0004253016967331943,0.31449163703949795,-0.31406633534276474,F_fast,0.889975,0.044775
0.5,0.075,0.0009075099311639491,0.31162689942358546,-0.3107193894924215,F_fast,0.877775,0.056975
0.5,0.1,0.001487591170354367,0.3073957949264537,-0.30590820375609934,F_fast,0.86979375,0.06495625
0.5,0.15,0.003181324382142747,0.29433340860999835,-0.2911520842278556,F_fast,0.85198125,0.08276875
0.5,0.2,0.0059096372488613835,0.27981724569748,-0.2739076084486186,F_fast,0.82515625,0.10959375
0.5,0.3,0.014737696392180246,0.25136053539006364,-0.2366228389978834,F_fast,0.7137875,0.2209625
0.5,0.4,0.02894691010212087,0.22175327045863474,-0.19280636035651388,F_fast,0.62314375,0.31160625
0.5,0.5,0.049032913767950506,0.19362965576557398,-0.14459674199762346,F_fast,0.5086125,0.42610625
0.5,0.75,0.11563349430683136,0.12936892879601453,-0.013735434489183171,F_fast,0.3069,0.627325
0.5,1.0,0.2247085809815899,0.0801305654104734,0.1445780155711165,L4_high,0.11364375,0.81486875
0.75,0.05,0.00022906054463071515,0.3168646872554272,-0.3166356267107965,F_fast,0.92975,0.005
0.75,0.075,0.00028402446048433525,0.3150672902530326,-0.3147832657925483,F_fast,0.92549375,0.00925625
0.75,0.1,0.00036802742434980236,0.31244287302711427,-0.31207484560276444,F_fast,0.921325,0.013425
0.75,0.15,0.0006304035430663834,0.3044489129648918,-0.3038185094218254,F_fast,0.912175,0.022575
0.75,0.2,0.0010719716725381711,0.29541755822816057,-0.2943455865556224,F_fast,0.90191875,0.03283125
0.75,0.3,0.0023503836189875497,0.27640091012767737,-0.27405052650868983,F_fast,0.8777625,0.0569875
0.75,0.4,0.004497927647592665,0.25465564347307756,-0.2501577158254849,F_fast,0.8332375,0.1015125
0.75,0.5,0.008169018509994882,0.23210468750211238,-0.2239356689921175,F_fast,0.7753875,0.159325
0.75,0.75,0.023358768217813148,0.17793225014979056,-0.1545734819319774,F_fast,0.58214375,0.35210625
0.75,1.0,0.047617206939441534,0.12176694166536245,-0.07414973472592092,F_fast,0.3660125,0.56385625
1.0,0.05,0.0,0.31853353322537875,-0.31853353322537875,F_fast,0.93475,0.0
1.0,0.075,0.0,0.31759280052108474,-0.31759280052108474,F_fast,0.93475,0.0
1.0,0.1,0.0,0.3161748582822162,-0.3161748582822162,F_fast,0.93475,0.0
1.0,0.15,0.0,0.3118241043448929,-0.3118241043448929,F_fast,0.93475,0.0
1.0,0.2,0.0,0.306913955255785,-0.306913955255785,F_fast,0.93475,0.0
1.0,0.3,0.0,0.29654816729320593,-0.29654816729320593,F_fast,0.93475,0.0
1.0,0.4,0.0,0.28452364636972355,-0.28452364636972355,F_fast,0.9344375,0.0003125
1.0,0.5,4.048853471484149e-07,0.27163308892551863,-0.2716326840401715,F_fast,0.9338625,0.000875
1.0,0.75,2.38738064554127e-05,0.23926299569011297,-0.23923912188365756,F_fast,0.9326,0.002
1.0,1.0,0.00033438638213094277,0.2057636322067195,-0.20542924582458857,F_fast,0.9277375,0.0045625
