variant,distribution,lower_bound_days,scenario,candidate,mean_regret,metric_aggregated_top1_frequency
truncnorm_bound_0.01,truncnorm,0.01,evidence_tradeoff,L0,0.9538119395256105,0.004561666666666668
truncnorm_bound_0.01,truncnorm,0.01,evidence_tradeoff,L1,0.7492621390955333,0.007224166666667467
truncnorm_bound_0.01,truncnorm,0.01,evidence_tradeoff,L2,0.5794164684231078,0.01254083333333413
truncnorm_bound_0.01,truncnorm,0.01,evidence_tradeoff,L3,0.4324778891468009,0.01200333333333413
truncnorm_bound_0.01,truncnorm,0.01,evidence_tradeoff,L4,0.30498070426481794,0.0769289583333341
truncnorm_bound_0.01,truncnorm,0.01,evidence_tradeoff,F_fast,0.0015055368110578273,0.8867410416666671
truncnorm_bound_0.01,truncnorm,0.01,boundary_tradeoff,L0,0.9465082635324921,0.004597916666666668
truncnorm_bound_0.01,truncnorm,0.01,boundary_tradeoff,L1,0.7235760498971231,0.007224166666667467
truncnorm_bound_0.01,truncnorm,0.01,boundary_tradeoff,L2,0.5273544640384137,0.01254083333333413
truncnorm_bound_0.01,truncnorm,0.01,boundary_tradeoff,L3,0.3515989692869437,0.01200333333333413
truncnorm_bound_0.01,truncnorm,0.01,boundary_tradeoff,L4,0.19134342921002495,0.43783083333333417
truncnorm_bound_0.01,truncnorm,0.01,boundary_tradeoff,F_fast,0.04881439907963076,0.5258029166666665
truncnorm_bound_0.05_baseline,truncnorm,0.05,evidence_tradeoff,L0,0.9552538516260525,0.004442083333333334
truncnorm_bound_0.05_baseline,truncnorm,0.05,evidence_tradeoff,L1,0.7496338051130842,0.00699208333333413
truncnorm_bound_0.05_baseline,truncnorm,0.05,evidence_tradeoff,L2,0.578867808397893,0.012442083333334119
truncnorm_bound_0.05_baseline,truncnorm,0.05,evidence_tradeoff,L3,0.4313611852996056,0.011935833333334124
truncnorm_bound_0.05_baseline,truncnorm,0.05,evidence_tradeoff,L4,0.30346417139232,0.0768639583333341
truncnorm_bound_0.05_baseline,truncnorm,0.05,evidence_tradeoff,F_fast,0.0014979851035277546,0.8873239583333341
truncnorm_bound_0.05_baseline,truncnorm,0.05,boundary_tradeoff,L0,0.9479712172445114,0.004480208333333334
truncnorm_bound_0.05_baseline,truncnorm,0.05,boundary_tradeoff,L1,0.7238039069985847,0.00699208333333413
truncnorm_bound_0.05_baseline,truncnorm,0.05,boundary_tradeoff,L2,0.5264841372898906,0.012442083333334119
truncnorm_bound_0.05_baseline,truncnorm,0.05,boundary_tradeoff,L3,0.34999077568564635,0.011935833333334124
truncnorm_bound_0.05_baseline,truncnorm,0.05,boundary_tradeoff,L4,0.1891925849993375,0.44015208333333417
truncnorm_bound_0.05_baseline,truncnorm,0.05,boundary_tradeoff,F_fast,0.04910600587369393,0.5239977083333339
truncnorm_bound_0.10,truncnorm,0.1,evidence_tradeoff,L0,0.9554497274042673,0.004548749999999999
truncnorm_bound_0.10,truncnorm,0.1,evidence_tradeoff,L1,0.7490584747569855,0.007173750000000796
truncnorm_bound_0.10,truncnorm,0.1,evidence_tradeoff,L2,0.578031353374956,0.01248208333333414
truncnorm_bound_0.10,truncnorm,0.1,evidence_tradeoff,L3,0.4306564819640345,0.011913333333334135
truncnorm_bound_0.10,truncnorm,0.1,evidence_tradeoff,L4,0.30299390123193626,0.0765227083333341
truncnorm_bound_0.10,truncnorm,0.1,evidence_tradeoff,F_fast,0.0014791023123348446,0.887359375
truncnorm_bound_0.10,truncnorm,0.1,boundary_tradeoff,L0,0.9481565245044419,0.0045856249999999986
truncnorm_bound_0.10,truncnorm,0.1,boundary_tradeoff,L1,0.7230936175296067,0.007173750000000796
truncnorm_bound_0.10,truncnorm,0.1,boundary_tradeoff,L2,0.525401798180601,0.01248208333333414
truncnorm_bound_0.10,truncnorm,0.1,boundary_tradeoff,L3,0.3489259100316811,0.011913333333334135
truncnorm_bound_0.10,truncnorm,0.1,boundary_tradeoff,L4,0.1882451200322799,0.4419589583333342
truncnorm_bound_0.10,truncnorm,0.1,boundary_tradeoff,F_fast,0.049279665285607,0.5218862500000006
truncated_lognormal_bound_0.05,lognormal,0.05,evidence_tradeoff,L0,0.9648089460301236,0.0025049999999999977
truncated_lognormal_bound_0.05,lognormal,0.05,evidence_tradeoff,L1,0.7576471598546994,0.005730000000000793
truncated_lognormal_bound_0.05,lognormal,0.05,evidence_tradeoff,L2,0.5822211515039111,0.011480000000000802
truncated_lognormal_bound_0.05,lognormal,0.05,evidence_tradeoff,L3,0.4307129046540775,0.011292500000000802
truncated_lognormal_bound_0.05,lognormal,0.05,evidence_tradeoff,L4,0.29966163155880954,0.0823050000000008
truncated_lognormal_bound_0.05,lognormal,0.05,evidence_tradeoff,F_fast,0.0018201239794359988,0.8866875
truncated_lognormal_bound_0.05,lognormal,0.05,boundary_tradeoff,L0,0.9582008173847015,0.0025049999999999977
truncated_lognormal_bound_0.05,lognormal,0.05,boundary_tradeoff,L1,0.7324040956662161,0.005730000000000793
truncated_lognormal_bound_0.05,lognormal,0.05,boundary_tradeoff,L2,0.5305396235182644,0.011480000000000802
truncated_lognormal_bound_0.05,lognormal,0.05,boundary_tradeoff,L3,0.3502733982426596,0.011292500000000802
truncated_lognormal_bound_0.05,lognormal,0.05,boundary_tradeoff,L4,0.18676737866513302,0.4326806250000008
truncated_lognormal_bound_0.05,lognormal,0.05,boundary_tradeoff,F_fast,0.045517130427202304,0.5363118750000005
